TimeStamp   ,BPM   
Y-09-15 00:17:59 ,79 
Y-09-15 00:18:01 ,77 
Y-09-15 00:18:02 ,79 
Y-09-15 00:18:03 ,72 
Y-09-15 00:18:05 ,79 
Y-09-15 00:18:07 ,80 
Y-09-15 00:18:11 ,80 
Y-09-15 00:18:12 ,78 
Y-09-15 00:18:14 ,71 
Y-09-15 00:18:15 ,79 
Y-09-15 00:18:17 ,78 
Y-09-15 00:18:18 ,80 
Y-09-15 00:18:20 ,80 
Y-09-15 00:18:21 ,80 
Y-09-15 00:18:22 ,81 
Y-09-15 00:18:24 ,80 
Y-09-15 00:18:25 ,75 
Y-09-15 00:18:30 ,82 
Y-09-15 00:18:32 ,81 
Y-09-15 00:18:33 ,80 
Y-09-15 00:18:35 ,71 
Y-09-15 00:18:36 ,79 
Y-09-15 00:18:38 ,81 
Y-09-15 00:18:39 ,81 
Y-09-15 00:18:40 ,78 
Y-09-15 00:18:42 ,78 
Y-09-15 00:18:44 ,79 
Y-09-15 00:18:45 ,83 
Y-09-15 00:18:49 ,67 
Y-09-15 00:18:50 ,81 
Y-09-15 00:18:51 ,71 
Y-09-15 00:18:53 ,73 
Y-09-15 00:18:54 ,81 
Y-09-15 00:18:56 ,79 
Y-09-15 00:18:57 ,72 
Y-09-15 00:18:58 ,81 
Y-09-15 00:19:00 ,81 
Y-09-15 00:19:01 ,79 
Y-09-15 00:19:03 ,82 
Y-09-15 00:19:05 ,77 
Y-09-15 00:19:08 ,81 
