TimeStamp   ,BPM   
Y-09-14 23:52:02 ,63 
Y-09-14 23:52:04 ,71 
Y-09-14 23:52:06 ,59 
Y-09-14 23:52:07 ,57 
Y-09-14 23:52:09 ,70 
Y-09-14 23:52:11 ,90 
Y-09-14 23:52:13 ,100 
Y-09-14 23:52:15 ,71 
Y-09-14 23:52:17 ,72 
Y-09-14 23:52:19 ,91 
Y-09-14 23:52:21 ,57 
Y-09-14 23:52:27 ,91 
Y-09-14 23:52:28 ,91 
Y-09-14 23:52:30 ,70 
Y-09-14 23:52:32 ,79 
Y-09-14 23:52:33 ,62 
Y-09-14 23:52:35 ,77 
Y-09-14 23:52:37 ,52 
Y-09-14 23:52:39 ,55 
