TimeStamp   ,BPM   
Y-09-10 09:00:13 ,80 
Y-09-10 09:00:14 ,80 
Y-09-10 09:00:16 ,77 
Y-09-10 09:00:17 ,83 
Y-09-10 09:00:19 ,81 
Y-09-10 09:00:20 ,75 
Y-09-10 09:00:22 ,79 
Y-09-10 09:00:26 ,69 
Y-09-10 09:00:28 ,67 
Y-09-10 09:00:30 ,59 
Y-09-10 09:00:31 ,81 
Y-09-10 09:00:32 ,69 
Y-09-10 09:00:34 ,55 
Y-09-10 09:00:35 ,55 
Y-09-10 09:00:37 ,58 
Y-09-10 09:00:38 ,55 
Y-09-10 09:00:40 ,71 
Y-09-10 09:00:41 ,60 
Y-09-10 09:00:46 ,118 
Y-09-10 09:00:47 ,65 
Y-09-10 09:00:49 ,74 
Y-09-10 09:00:51 ,71 
Y-09-10 09:00:52 ,68 
Y-09-10 09:00:54 ,69 
